target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",0.1,29.8,150,4,146,97.33,10000.5,10001.3,10001.6,10001.7
"10",0.05,29.9,300,2,298,99.33,10000.3,10001.1,10001.3,10001.4
"25",0.11,29.96,750,4,746,99.47,51.3,10001,10001.5,10003.2
"50",0,29.98,1500,0,1500,100,47.9,10000.6,10001.2,10001.8
"75",0,29.99,2250,0,2250,100,40.3,10000.5,10001.1,10002.2
"100",0.06,29.99,3000,2,2998,99.93,41.2,10000.3,10001,10002
"150",0.12,29.99,4500,4,4496,99.91,40.7,97.4,10000.9,10001.8
"200",0,29.99,6000,0,6000,100,41,130.6,10000.8,10001.9
"300",0,30,9000,0,9000,100,40.2,89.2,10000.6,10002.3
"400",0,30,12000,0,12000,100,41.5,89.9,10000.5,10002
